ID,latitude,longitude,Date,farm type,Pop,Infection
"255",14.861170000000000,101.449280000000002,01-01-2015,dairy,"50","0"
"245",14.897150000000000,101.427599999999998,15-02-2015,dairy,"97","0"
"187",14.889870000000000,101.423310000000001,05-03-2015,dairy,"17","0"
"216",14.900690000000001,101.427700000000002,15-08-2015,dairy,"40","0"
"154",14.901899999999999,101.428049999999999,15-08-2015,dairy,"22","0"
"369",14.909350000000000,101.447659999999999,15-08-2015,dairy,"19","0"
"35",14.897980000000000,101.448250000000002,08-10-2015,dairy,"7","0"
"302",14.897900000000000,101.448220000000006,10-10-2015,dairy,"22","0"
"453",14.922700000000001,101.441990000000004,10-01-2016,dairy,"30","0"
"85",14.866949999999999,101.418710000000004,15-01-2016,dairy,"52","0"
"211",14.893060000000000,101.438779999999994,15-01-2016,dairy,"110","1"
"99",14.893789999999999,101.438800000000001,15-01-2016,dairy,"40","1"
"209",14.893250000000000,101.438829999999996,15-01-2016,dairy,"50","1"
"358",14.892099999999999,101.445920000000001,10-03-2016,dairy,"22","0"
"226",14.882750000000000,101.444199999999995,10-06-2016,dairy,"29","0"
"84",14.857980000000000,101.436340000000001,21-07-2016,dairy,"84","0"
"362",14.892139999999999,101.435509999999994,05-08-2016,dairy,"13","0"
"409",14.889570000000001,101.429980000000000,15-09-2016,dairy,"15","0"
"422",14.854320000000000,101.431640000000002,15-09-2016,dairy,"30","0"
"155",14.865750000000000,101.420860000000005,15-10-2016,dairy,"12","0"
"66",14.874470000000001,101.437209999999993,15-10-2016,dairy,"50","0"
"406",14.874940000000000,101.441749999999999,15-10-2016,dairy,"27","0"
"224",14.873180000000000,101.447140000000005,15-10-2016,dairy,"70","0"
"2",14.922829999999999,101.443179999999998,30-10-2016,dairy,"52","0"
"261",14.913700000000000,101.401780000000002,15-11-2016,dairy,"20","0"
"204",14.853030000000000,101.416569999999993,15-11-2016,dairy,"34","0"
"289",14.861929999999999,101.432760000000002,15-11-2016,dairy,"100","0"
"126",14.867450000000000,101.434470000000005,15-11-2016,dairy,"17","0"
"438",14.867910000000000,101.447919999999996,15-11-2016,dairy,"42","0"
"271",14.864649999999999,101.424850000000006,20-11-2016,dairy,"132","0"
"44",14.863939999999999,101.424779999999998,01-12-2016,dairy,"100","0"
"53",14.859410000000000,101.424469999999999,02-12-2016,dairy,"23","0"
"225",14.919639999999999,101.443730000000002,03-12-2016,dairy,"40","0"
"272",14.859700000000000,101.426969999999997,05-12-2016,dairy,"21","0"
"236",14.849550000000001,101.424499999999995,06-12-2016,dairy,"40","0"
"381",14.850410000000000,101.428129999999996,09-12-2016,dairy,"58","0"
"458",14.849100000000000,101.416430000000005,15-12-2016,dairy,"35","0"
"396",14.848979999999999,101.416820000000001,15-12-2016,dairy,"25","0"
"471",14.848870000000000,101.416899999999998,15-12-2016,dairy,"38","0"
"59",14.853130000000000,101.417240000000007,15-12-2016,dairy,"40","0"
"94",14.867179999999999,101.424080000000004,15-12-2016,dairy,"24","0"
"235",14.867080000000000,101.424760000000006,15-12-2016,dairy,"9","0"
"112",14.863890000000000,101.425399999999996,15-12-2016,dairy,"50","0"
"323",14.858950000000000,101.425799999999995,15-12-2016,dairy,"25","0"
"372",14.859069999999999,101.425799999999995,15-12-2016,dairy,"30","0"
"348",14.859019999999999,101.425899999999999,15-12-2016,dairy,"35","0"
"290",14.866690000000000,101.426199999999994,15-12-2016,dairy,"35","0"
"214",14.866980000000000,101.426349999999999,15-12-2016,dairy,"30","0"
"147",14.859500000000001,101.426479999999998,15-12-2016,dairy,"6","0"
"13",14.869800000000000,101.427760000000006,15-12-2016,dairy,"30","0"
"186",14.861250000000000,101.434449999999998,15-12-2016,dairy,"90","0"
"194",14.867509999999999,101.440179999999998,15-12-2016,dairy,"25","0"
"359",14.851860000000000,101.441680000000005,15-12-2016,dairy,"85","0"
"12",14.861340000000000,101.426969999999997,20-12-2016,dairy,"37","0"
"282",14.892260000000000,101.445779999999999,20-12-2016,dairy,"49","0"
"79",14.859170000000001,101.421279999999996,23-12-2016,dairy,"80","0"
"299",14.858720000000000,101.421149999999997,24-12-2016,dairy,"70","0"
"68",14.859069999999999,101.421790000000001,25-12-2016,dairy,"40","0"
"33",14.860510000000000,101.422330000000002,25-12-2016,dairy,"29","0"
"494",14.856650000000000,101.423680000000004,25-12-2016,dairy,"60","0"
"180",14.882420000000000,101.429109999999994,25-12-2016,dairy,"45","0"
"86",14.892989999999999,101.438419999999994,25-12-2016,dairy,"55","1"
"63",14.859700000000000,101.431190000000001,26-12-2016,dairy,"45","0"
"429",14.916300000000000,101.445419999999999,28-12-2016,dairy,"50","0"
"139",14.858409999999999,101.430390000000003,30-12-2016,dairy,"14","0"
"145",14.891760000000000,101.436509999999998,30-12-2016,dairy,"50","0"
"448",14.851100000000001,101.416659999999993,31-12-2016,dairy,"60","0"
"350",14.866429999999999,101.432010000000005,31-12-2016,dairy,"26","0"
"137",14.864640000000000,101.432890000000000,31-12-2016,dairy,"16","0"
"404",14.889790000000000,101.434250000000006,31-12-2016,dairy,"30","0"
"267",14.866830000000000,101.417770000000004,01-01-2017,dairy,"53","0"
"174",14.866669999999999,101.417969999999997,01-01-2017,dairy,"14","0"
"479",14.881830000000001,101.428650000000005,01-01-2017,dairy,"70","0"
"423",14.857870000000000,101.429400000000001,01-01-2017,dairy,"58","0"
"218",14.916380000000000,101.431410000000000,01-01-2017,dairy,"60","0"
"483",14.879910000000001,101.441890000000001,01-01-2017,dairy,"70","0"
"7",14.881309999999999,101.444710000000001,01-01-2017,dairy,"70","0"
